Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/slow,1858,3,2000.0,2012.2199289558705,2.4244000005637645,2116.277099999934,3.993541442411195,10.00377705246279,0.016152492549724635,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
,Aggregated,1858,3,2000.0,2012.2199289558705,2.4244000005637645,2116.277099999934,3.993541442411195,10.00377705246279,0.016152492549724635,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
